,,As-Suli,Abbasid Caliphate,c. 880,c. 946
Beutum,Siegmund,Siegmund Beutum,Austria,1890,1966
Bhat,Vinay,Vinay Bhat,US,1984,
Bielicki,Carlos,Carlos Bielicki,Argentina,1940,
Bier,Martin,Martin Bier,Germany,1854,1934
Bigelow,Horace,Horace Bigelow,US,1898,1980
Bilek,István,István Bilek,Hungary,1932,2010
"Bilguer,von",Paul Rudolf,Paul Rudolf von Bilguer,Germany,1815,1840
Billecard,Maurice,Maurice Billecard,France,1876,?
Bin-Sattar,Reefat,Reefat Bin-Sattar,Bangladesh,1974,
Bird,Henry,Henry Bird,England,1830,1908
Birnboim,Nathan,Nathan Birnboim,Israel,1950,
Bischoff,Klaus,Klaus Bischoff,Germany,1961,
Bisguier,Arthur,Arthur Bisguier,US,1929,2017
Biyiasas,Peter,Peter Biyiasas,"Greece,Canada",1950,
Bjelica,Dimitrije,Dimitrije Bjelica,Serbia,1935,
Black,Roy Turnbull,Roy Turnbull Black,US,1888,1962
Blackburne,Joseph Henry,Joseph Henry Blackburne,England,1841,1924
Blackmar,Armand,Armand Blackmar,US,1826,1888
Blake,Joseph Henry,Joseph Henry Blake,England,1859,1951
Blass,Abram,Abram Blass,"Poland,Israel",1895,1971
Blau,Max,Max Blau,"Germany,Switzerland",1918,1984
Bledow,Ludwig,Ludwig Bledow,Germany,1795,1846
Blehm,Paweł,Paweł Blehm,Poland,1980,
Bleijkmans,Dirk,Dirk Bleijkmans,"Netherlands,Indonesia",1875,?
Bleiman,Yaacov,Yaacov Bleiman,"Lithuania,Israel",1947,2004
Blocker,Calvin,Calvin Blocker,US,1955,
Bloodgood,Claude,Claude Bloodgood,US,1937,2001
Blumenfeld,Benjamin,Benjamin Blumenfeld,"Belarus,Russia",1884,1947
Blumin,Boris,Boris Blumin,"Russia,Canada,US",1907,1998
Bláthy,Ottó,Ottó Bláthy,Hungary,1860,1939
Blümich,Max,Max Blümich,Germany,1886,1942
Bobotsov,Milko,Milko Bobotsov,Bulgaria,1931,2000
Bocharov,Dmitry,Dmitry Bocharov,Russia,1982,
Boden,Samuel,Samuel Boden,England,1826,1882
Bogatyrchuk,Fedor,Fedor Bogatyrchuk,"Ukraine,Canada",1892,1984
Bogoljubov,Efim,Efim Bogoljubov,"Ukraine,Germany",1889,1952
Boi,Paolo,Paolo Boi,Italy,1528,1598
Bolbochán,Jacobo,Jacobo Bolbochán,Argentina,1906,1984
Bolbochán,Julio,Julio Bolbochán,Argentina,1920,1996
