,,As-Suli,Abbasid Caliphate,c. 880,c. 946
Lilienthal,Andor,Andor Lilienthal,"Hungary,Russia",1911,2010
Lima,Darcy,Darcy Lima,Brazil,1962,
Lin,Weiguo,Lin Weiguo,China,1970,
Lin,Ta,Lin Ta,China,1963,
Lipke,Paul,Paul Lipke,Germany,1870,1955
Lipnitsky,Isaac,Isaac Lipnitsky,Ukraine,1923,1959
Lipschütz,Samuel,Samuel Lipschütz,"Hungary,US",1863,1905
Lisitsin,Georgy,Georgy Lisitsin,Russia,1909,1972
List,Paul,Paul List,"Ukraine,Germany,England",1887,1954
Litinskaya-Shul,Marta,Marta Litinskaya-Shul,Ukraine,1949,
Littlewood,John,John Littlewood,England,1931,2009
Liu,Wenzhe,Liu Wenzhe,China,1940,
Liu,Shilan,Liu Shilan,China,1962,
Liêm,Lê Quang,Lê Quang Liêm,Vietnam,1991,
Ljubojević,Ljubomir,Ljubomir Ljubojević,Serbia,1950,
Lobron,Eric,Eric Lobron,"US,Germany",1960,
Lokvenc,Josef,Josef Lokvenc,Austria,1899,1974
Lolli,Giambattista,Giambattista Lolli,Italy,1698,1769
Loman,Rudolf,Rudolf Loman,Netherlands,1861,1932
Lombardy,William,William Lombardy,US,1937,2017
Lowtzky,Moishe,Moishe Lowtzky,"Ukraine,Poland",1881,1940
Loyd,Sam,Sam Loyd,US,1841,1911
Lputian,Smbat,Smbat Lputian,Armenia,1958,
Lucena,Luis Ramirez,Luis Ramirez Lucena,Spain,c. 1465,c. 1530
Luckis,Markas,Markas Luckis,"Lithuania,Argentina",1905,1973
Lukin,Andrey,Andrey Lukin,Russia,1948,
Lundholm,Stig,Stig Lundholm,Sweden,1917,2009
Lundin,Erik,Erik Lundin,Sweden,1904,1988
Lupi,Francisco,Francisco Lupi,Portugal,before 1910,1954
Lupulescu,Constantin,Constantin Lupulescu,Romania,1984,
Luther,Thomas,Thomas Luther,Germany,1969,
Lutz,Christopher,Christopher Lutz,Germany,1971,
Lékó,Péter,Péter Lékó,Hungary,1979,
López de Segura,Ruy,Ruy López de Segura,Spain,c. 1530,c. 1580
Löwe,Edward,Edward Löwe,England,1794,1880
Löwenborg,Otto,Otto Löwenborg,Sweden,1888,1969
Löwenthal,Johann,Johann Löwenthal,"Hungary,England",1810,1876
Löwy,Leopold,Leopold Löwy Sr,Austria,1840,>1904
Löwy,Leopold,Leopold Löwy Jr,Austria,1871,>1909
MacLeod,Nicholas,Nicholas MacLeod,Canada,1870,1965
Machate,Gottlieb,Gottlieb Machate,Germany,1904,1974
Machtas,Aleksandras,Aleksandras Machtas,"Lithuania,Israel",1892,1973
Macieja,Bartłomiej,Bartłomiej Macieja,Poland,1977,
Mackenzie,George Henry,George Henry Mackenzie,"Scotland,US",1837,1891
Maderna,Carlos,Carlos Maderna,Argentina,1910,1976
Magerramov,Elmar,Elmar Magerramov,Azerbaijan,1958,
Maghami,Ehsan Ghaem,Ehsan Ghaem Maghami,Iran,1982,
Majdan,Joanna,Joanna Majdan,Poland,1988,
Makarczyk,Kazimierz,Kazimierz Makarczyk,Poland,1901,1972
Makogonov,Vladimir,Vladimir Makogonov,Azerbaijan,1904,1993
Makovetz,Gyula,Gyula Makovetz,Hungary,1860,1903
Malakhatko,Vadim,Vadim Malakhatko,"Ukraine,Belgium",1977,
Malakhov,Vladimir,Vladimir Malakhov,Russia,1980,
Malaniuk,Vladimir,Vladimir Malaniuk,"Russia,Ukraine",1957,
Maliutin,Boris,Boris Maliutin,Russia,1883,1920
Mališauskas,Vidmantas,Vidmantas Mališauskas,Lithuania,1963,
Mamedov,Nidjat,Nidjat Mamedov,Azerbaijan,1985,
Mamedyarov,Shakhriyar,Shakhriyar Mamedyarov,Azerbaijan,1985,
Mammadov,Rauf,Rauf Mammadov,Azerbaijan,1988,
Manakova,Maria,Maria Manakova,Serbia,1974,
Mar,Karmen,Karmen Mar,Slovenia,1987,
Marache,Napoleon,Napoleon Marache,"France,US",1818,1875
Marchand,Max,Max Marchand,Netherlands,1888,1957
Marco,Georg,Georg Marco,"Romania,Austria",1863,1923
Marin,Mihail,Mihail Marin,Romania,1965,
Marinello,Beatriz,Beatriz Marinello,Chile,1964,
Mariotti,Sergio,Sergio Mariotti,Italy,1946,
Marić,Mirjana,Mirjana Marić,Serbia,1970,
Marić,Alisa,Alisa Marić,Serbia,1970,
Markowski,Tomasz,Tomasz Markowski,Poland,1975,
Markoš,Ján,Ján Markoš,Slovakia,1985,
Markuš,Robert,Robert Markuš,Serbia,1984,
Marotti,Davide,Davide Marotti,Italy,1881,1940
Marović,Dražen,Dražen Marović,Croatia,1938,
Marshall,Frank,Frank Marshall,US,1877,1944
Martinez,Dion,Dion Martinez,"Cuba,US",1837,1928
Martinolich,Giovanni,Giovanni Martinolich,Italy,1884,1910
Maróczy,Géza,Géza Maróczy,Hungary,1870,1951
Mascarinas,Rico,Rico Mascarinas,Philippines,1954,
Mashian,Houshang,Houshang Mashian,"Iran,Israel",1938,
Mason,James,James Mason,"Ireland,US,England",1849,1905
Mastrovasilis,Dimitrios,Dimitrios Mastrovasilis,Greece,1983,
Matanović,Aleksandar,Aleksandar Matanović,Serbia,1930,
Matibet,Louis Betbeder,Louis Betbeder Matibet,France,1901,1986
Matisons,Hermanis,Hermanis Matisons,Latvia,1894,1932
Matulović,Milan,Milan Matulović,Serbia,1935,2013
Matveeva,Svetlana,Svetlana Matveeva,Russia,1969,
Mayet,Carl,Carl Mayet,Germany,1810,1868
Mazel,Isaak,Isaak Mazel,"Belarus,Russia",1911,1943
McDonald,Neil,Neil McDonald,England,1967,
McDonnell,Alexander,Alexander McDonnell,Ireland,1798,1835
McNab,Colin,Colin McNab,Scotland,1961,
McShane,Luke,Luke McShane,England,1984,
Mecking,Henrique,Henrique Mecking,Brazil,1952,
Medina,Antonio,Antonio Medina,Spain,1919,2003
Mednis,Edmar,Edmar Mednis,"Latvia,US",1937,2002
Megaranto,Susanto,Susanto Megaranto,Indonesia,1987,
Meitner,Philipp,Philipp Meitner,Austria,1838,1910
Melkumyan,Hrant,Hrant Melkumyan,Armenia,1989,
Menchik,Vera,Vera Menchik,"Russia,Czechoslovakia,England",1906,1944
Menchik,Olga,Olga Menchik,"Russia,Czechoslovakia,England",1908,1944
Mendes,João de Souza,João de Souza Mendes,Brazil,1892,1969
Mendheim,Julius,Julius Mendheim,Germany,1788,1836
Mendoza,Luciana Morales,Luciana Morales Mendoza,Peru,1987,
Mestel,Jonathan,Jonathan Mestel,England,1957,
Metger,Johannes,Johannes Metger,Germany,1850,1926
Mežgailis,Voldemars,Voldemars Mežgailis,Latvia,1912,
Michel,Walter,Walter Michel,Switzerland,1888,>1935
Michel,Paul,Paul Michel,"Germany,Argentina",1905,1977
Michell,Reginald Price,Reginald Price Michell,England,1873,1938
Mieses,Samuel,Samuel Mieses,Germany,1841,1884
Mieses,Jacques,Jacques Mieses,"Germany,England",1865,1954
Mikhalchishin,Adrian,Adrian Mikhalchishin,"Ukraine,Slovenia",1954,
Mikhalevski,Victor,Victor Mikhalevski,"Belarus,Israel",1972,
Mikėnas,Vladas,Vladas Mikėnas,"Estonia,Lithuania",1910,1992
Miladinović,Igor,Igor Miladinović,Serbia,1974,
Miles,Tony,Tony Miles,England,1955,2001
Milev,Zdravko,Zdravko Milev,Bulgaria,1929,1984
Milic,Borislav,Borislav Milic,Yugoslavia,1925,1986
Milliet,Sophie,Sophie Milliet,France,1983,
Milner-Barry,Stuart,Stuart Milner-Barry,England,1906,1995
Milov,Vadim,Vadim Milov,"Russia,Israel,Switzerland",1972,
Minasian,Artashes,Artashes Minasian,Armenia,1987,
Minckwitz,Johannes,Johannes Minckwitz,Germany,1843,1901
Minev,Nikolay,Nikolay Minev,"Bulgaria,US",1931,2017
Minić,Dragoljub,Dragoljub Minić,Montenegro,1936,2005
Miroshnichenko,Evgenij,Evgenij Miroshnichenko,Ukraine,1978,
Mirzoev,Azer,Azer Mirzoev,Azerbaijan,1978,
Mitoń,Kamil,Kamil Mitoń,Poland,1984,
Mišanović,Vesna,Vesna Mišanović,Bosnia,1964,
Mkrtchian,Lilit,Lilit Mkrtchian,Armenia,1982,
Mlotkowski,Stasch,Stasch Mlotkowski,US,1881,1943
Model,Abram,Abram Model,"Latvia,Russia",1896,1976
Moehle,Charles,Charles Moehle,US,1859,1898
Moeller,Jorgen,Jorgen Moeller,Denmark,1873,1944
Mohiliver,Ariah,Ariah Mohiliver,"Poland,Israel",1904,
Mohr,Stefan,Stefan Mohr,Germany,1967,
Mongredien,Augustus,Augustus Mongredien,England,1807,1888
Monosson,Léon,Léon Monosson,"Belarus,France",1892,1943
Mont,Julius du,Julius du Mont,"France,England",1881,1956
Monticelli,Mario,Mario Monticelli,Italy,1902,1995
Mora,María Teresa,María Teresa Mora,Cuba,1902,1980
Moradi,Elshan,Elshan Moradi,Iran,1985,
Morawski,Kalikst,Kalikst Morawski,Poland,1859,c. 1939
Moritz,Bruno,Bruno Moritz,"Germany,Ecuador",1900,?
Morovic,Iván,Iván Morovic,Chile,1963,
Moroz,Alexander,Alexander Moroz,Ukraine,1961,2009
Morozevich,Alexander,Alexander Morozevich,Russia,1977,
Morphy,Paul,Paul Morphy,US,1837,1884
Morrison,John,John Morrison,Canada,1889,1975
Morshed,Niaz,Niaz Morshed,Bangladesh,1966,
Motwani,Paul,Paul Motwani,Scotland,1962,
Motylev,Alexander,Alexander Motylev,Russia,1979,
Movsesian,Sergei,Sergei Movsesian,"Armenia,Slovakia",1978,
Mross,Paul,Paul Mross,"Poland,Germany",1910,1991
Mrva,Martin,Martin Mrva,Slovakia,1971,
Muffang,André,André Muffang,France,1897,1989
Murdzia,Piotr,Piotr Murdzia,Poland,1975,
Murey,Jacob,Jacob Murey,"Russia,Israel",1941,
Muro,Augusto de,Augusto de Muro,Argentina,?,1959
Mutesi,Phiona,Phiona Mutesi,Uganda,?,?
Muzychuk,Anna,Anna Muzychuk,"Ukraine,Slovenia",1990,
Muñoz,César,César Muñoz,Ecuador,1929,2000
Myagmarsuren,Lhamsuren,Lhamsuren Myagmarsuren,Mongolia,1938,
Myers,Hugh,Hugh Myers,US,1930,2008
Mádl,Ildikó,Ildikó Mádl,Hungary,1969,
Möller,Baldur,Baldur Möller,Iceland,<1921,
Müller,Hans,Hans Müller,Austria,1896,1971
Müller,Karsten,Karsten Müller,Germany,1970,
Nadanian,Ashot,Ashot Nadanian,Armenia,1972,
Naegeli,Oskar,Oskar Naegeli,Switzerland,1885,1959
Nagy,Géza,Géza Nagy,Hungary,1892,1953
Naiditsch,Arkadij,Arkadij Naiditsch,"Latvia,Germany",1985,
Nakamura,Hikaru,Hikaru Nakamura,"Japan,US",1987,
Napier,William,William Napier,"England,US",1881,1952
Napolitano,Mario,Mario Napolitano,Italy,1910,1995
Naranja,Renato,Renato Naranja,Philippines,1940,
Narayanan,Srinath,Srinath Narayanan,India,1994,
Naroditsky,Daniel,Daniel Naroditsky,US,1995,
Navara,David,David Navara,Czech Republic,1985,
Nebolsina,Vera,Vera Nebolsina,Russia,1989,
Nedeljković,Ozren,Ozren Nedeljković,Serbia,1903,1984
Needleman,Gastón,Gastón Needleman,Argentina,1990,
Negi,Parimarjan,Parimarjan Negi,India,1993,
Nei,Iivo,Iivo Nei,Estonia,1931,
Neikirch,Oleg,Oleg Neikirch,"Georgia,Bulgaria",1914,1985
Nenarokov,Vladimir,Vladimir Nenarokov,Russia,1880,1953
Nepomniachtchi,Ian,Ian Nepomniachtchi,Russia,1990,
Nestler,Vincenzo,Vincenzo Nestler,Italy,1912,1988
Neumann,Augustin,Augustin Neumann,Austria,1879,1906
Neumann,Gustav,Gustav Neumann,Germany,1838,1881
Nevednichy,Vladislav,Vladislav Nevednichy,Romania,1969,
Neverov,Valeriy,Valeriy Neverov,Ukraine,1962,
Nezhmetdinov,Rashid,Rashid Nezhmetdinov,Russia,1912,1974
Ni,Hua,Ni Hua,China,1983,
Nickel,Arno,Arno Nickel,Germany,1952,
Nickoloff,Bryon,Bryon Nickoloff,Canada,1956,2004
Nielsen,Torkil,Torkil Nielsen,Faroe Islands,1964,
Nielsen,Peter Heine,Peter Heine Nielsen,Denmark,1973,
Nielsen,Bjørn,Bjørn Nielsen,Denmark,1907,1949
Niephaus,Walter,Walter Niephaus,Germany,1923,1992
Nikolaevsky,Yuri,Yuri Nikolaevsky,Ukraine,1937,
Nikolaidis,Ioannis,Ioannis Nikolaidis,Greece,1971,
Nikolić,Predrag,Predrag Nikolić,Bosnia and Herzegovina,1960,
Nilsson,Allan,Allan Nilsson,Sweden,1899,1949
Nimzowitsch,Aron,Aron Nimzowitsch,"Latvia,Denmark",1886,1935
Ning,Chunhong,Ning Chunhong,China,1968,
Nisipeanu,Liviu-Dieter,Liviu-Dieter Nisipeanu,Romania,1976,
Noa,Josef,Josef Noa,Hungary,1856,1903
Nogueiras,Jesus,Jesus Nogueiras,Cuba,1959,
Norcia,Federico,Federico Norcia,Italy,1904,1985
Norman-Hansen,Holger,Holger Norman-Hansen,Denmark,1899,1984
Norwood,David,David Norwood,England,1968,
Noteboom,Daniël,Daniël Noteboom,Netherlands,1910,1932
Novikov,Igor,Igor Novikov,"Ukraine,US",1962,
Novotelnov,Nikolay,Nikolay Novotelnov,Russia,1911,2006
Nowarra,Heinz,Heinz Nowarra,Germany,1897,c. 1945
Nunn,John,John Nunn,England,1955,
Nyback,Tomi,Tomi Nyback,Finland,1985,
Nyholm,Gustaf,Gustaf Nyholm,Sweden,1880,1957
Nyzhnyk,Illya,Illya Nyzhnyk,Ukraine,1996,
Nürnberg,Friedrich,Friedrich Nürnberg,Germany,1909,1984
Němcová,Kateřina,Kateřina Němcová,Czech Republic,1990,
O'Connell,Kevin,Kevin O'Connell,"England,Ireland",1949,
O'Hanlon,John,John O'Hanlon,Ireland,1876,1960
O'Kelly de Galway,Albéric,Albéric O'Kelly de Galway,Belgium,1911,1980
Odeev,Handszar,Handszar Odeev,Turkmenistan,1972,
Ojanen,Kaarle,Kaarle Ojanen,Finland,1918,2009
Oleksienko,Mikhailo,Mikhailo Oleksienko,Ukraine,1986,
Oll,Lembit,Lembit Oll,Estonia,1966,1999
Olland,Adolf Georg,Adolf Georg Olland,Netherlands,1867,1933
Olson,Anton,Anton Olson,Sweden,1881,>1928
Onischuk,Alexander,Alexander Onischuk,"Ukraine,US",1975,
Opočensky,Karel,Karel Opočensky,Czechoslovakia,1892,1975
Orbach,Wilhelm,Wilhelm Orbach,Germany,1894,1944
Oren,Menachem,Menachem Oren,"Poland,Israel",1901,1962
Oskam,Gerard,Gerard Oskam,Netherlands,1880,1952
Ostenstad,Berge,Berge Ostenstad,Norway,1964,
Owen,John,John Owen,England,1827,1901
Ozols,Karlis,Karlis Ozols,"Latvia,Australia",1912,2001
Pachman,Ludek,Ludek Pachman,"Czechoslovakia,Germany",1924,2003
Padevsky,Nikola,Nikola Padevsky,Bulgaria,1933,
Palac,Mladen,Mladen Palac,Croatia,1971,
Palatnik,Sam,Sam Palatnik,"Ukraine,US",1950,
Palau,Luis,Luis Palau,Argentina,1897,1971
Palciauskas,Victor,Victor Palciauskas,"Lithuania,US",1941,
Palermo,Carlos Garcia,Carlos Garcia Palermo,"Argentina,Italy",1953,
Palliser,Richard,Richard Palliser,England,1981,
Palme,Rudolf,Rudolf Palme,Austria,1910,2005
Palmer,Ryan,Ryan Palmer,Jamaica,1974,
Palo,Davor,Davor Palo,Denmark,1985,
Paloheimo,Eero,Eero Paloheimo,Finland,1936,
Panno,Oscar,Oscar Panno,Argentina,1935,
Panov,Vasily,Vasily Panov,Russia,1906,1973
Paragua,Mark,Mark Paragua,Philippines,1984,
Paridar,Shadi,Shadi Paridar,Iran,1986,
Parligras,Mircea,Mircea Parligras,Romania,1980,
Parma,Bruno,Bruno Parma,Slovenia,1941,
Parr,Frank,Frank Parr,England,1918,2003
Paulsen,Wilfried,Wilfried Paulsen,Germany,1828,1901
Paulsen,Louis,Louis Paulsen,Germany,1833,1891
Pavasovič,Duško,Duško Pavasovič,"Croatia,Slovenia",1975,
Pavey,Max,Max Pavey,US,1918,1957
Pelikán,Jiří,Jiří Pelikán,"Czechoslovakia,Argentina",1906,1985
Pelletier,Yannick,Yannick Pelletier,Switzerland,1976,
Pelts,Roman,Roman Pelts,"Ukraine,Canada",1937,
Peng,Xiaomin,Peng Xiaomin,China,1973,
Peng,Zhaoqin,Peng Zhaoqin,China,1978,
Penrose,Jonathan,Jonathan Penrose,England,1933,
Peptan,Corina,Corina Peptan,Romania,1978,
Perlis,Julius,Julius Perlis,"Poland,Austria",1880,1913
Perrin,Frederic,Frederic Perrin,"England,US",1815,1889
Persitz,Raaphi,Raaphi Persitz,"England,Israel,Switzerland",1934,
Persson,Tiger Hillarp,Tiger Hillarp Persson,Sweden,1970,
Pert,Nick,Nick Pert,England,1981,
Peters,John,John Peters,US,1951,
Petkevich,Jusefs,Jusefs Petkevich,Latvia,1940,
Petrosian,Arshak,Arshak Petrosian,Armenia,1953,
Petrosian,Tigran,Tigran Petrosian,"Armenia,Georgia,USSR",1929,1984
Petrosian,Davit G.,Davit G. Petrosian,Armenia,1984,
Petrov,Alexander,Alexander Petrov,Russia,1794,1867
Petrovs,Vladimirs,Vladimirs Petrovs,Latvia,1907,1943
Pfeiffer,Gerhard,Gerhard Pfeiffer,Germany,1923,2000
Pfleger,Helmut,Helmut Pfleger,Germany,1943,
Philidor,François-André Danican,François-André Danican Philidor,France,1726,1795
Piazzini,Luis,Luis Piazzini,Argentina,1905,1980
Piket,Jeroen,Jeroen Piket,Netherlands,1969,
Pillsbury,Harry Nelson,Harry Nelson Pillsbury,US,1872,1906
Pilnik,Herman,Herman Pilnik,"Germany,Argentina",1914,1981
Piltz,Karol,Karol Piltz,Poland,1903,1939
Pinkus,Albert,Albert Pinkus,US,1903,1984
Pintér,József,József Pintér,Hungary,1953,
Pirc,Vasja,Vasja Pirc,Slovenia,1907,1980
Pitschak,Rudolf,Rudolf Pitschak,"Czechoslovakia,US",1902,
Pitschel,Karl,Karl Pitschel,Austria,1829,1883
Pixton,Aaron,Aaron Pixton,US,1986,
Plachetka,Ján,Ján Plachetka,Slovakia,1945,
Planinc,Albin,Albin Planinc,Slovenia,1944,2008
Plaskett,James,James Plaskett,"England,Spain",1960,
Plater,Kazimierz,Kazimierz Plater,Poland,1915,2004
Platonov,Igor,Igor Platonov,Ukraine,1934,1995
Platz,Joseph,Joseph Platz,"Germany,US",1905,1981
Pleci,Isaias,Isaias Pleci,Argentina,1907,1979
Podhorzer,David,David Podhorzer,Austria,<1916,
Pogonina,Natalia,Natalia Pogonina,Russia,1985,
Pogorieły,Henryk,Henryk Pogorieły,Poland,1908,1943
Pogosyants,Ernest,Ernest Pogosyants,Ukraine,1935,1990
Pogrebyssky,Iosif,Iosif Pogrebyssky,Ukraine,1906,1971
Pokorny,Rudolph,Rudolph Pokorny,"Bohemia,Mexico,US",1880,after 1920
Pokorný,Amos,Amos Pokorný,Czechoslovakia,1890,1949
Polerio,Giulio,Giulio Polerio,Italy,1548,1612
Polgar,Zsofia,Zsofia Polgar,"Hungary,Israel",1974,
Polgar,Zsuzsa,Zsuzsa Polgar,"Hungary,US",1969,
Polgár,Judit,Judit Polgár,Hungary,1976,
Polihroniade,Elisabeta,Elisabeta Polihroniade,Romania,1935,2016
Polland,David,David Polland,US,1915,
Pollock,William,William Pollock,United Kingdom,1859,1896
Polugaevsky,Lev,Lev Polugaevsky,"Belarus,Russia",1934,1995
Pomar,Arturo,Arturo Pomar,Spain,1931,2016
Ponomariov,Ruslan,Ruslan Ponomariov,Ukraine,1983,
Pons,Francisco Vallejo,Francisco Vallejo Pons,Spain,1982,
Ponziani,Domenico,Domenico Ponziani,Italy,1719,1796
Popel,Stepan,Stepan Popel,"Poland,France,US",1909,1987
Popiel,Ignatz von,Ignatz von Popiel,"Austria-Hungary,Poland",1863,1941
Poplawski,Artur,Artur Poplawski,"Poland,Switzerland",1860,1918
Popović,Petar,Petar Popović,"Yugoslavia,Serbia",1959,
Porath,Yosef,Yosef Porath,"Germany,Israel",1909,1996
Porges,Moritz,Moritz Porges,Bohemia/Austria-Hungary,1857,1909
Portisch,Lajos,Lajos Portisch,Hungary,1937,
Post,Ehrhardt,Ehrhardt Post,Germany,1881,1947
Postny,Evgeny,Evgeny Postny,Israel,1981,
Potemkine,Peter,Peter Potemkine,"Russia,France",1886,1926
Potkin,Vladimir,Vladimir Potkin,Russia,1982,
Potuček,Ludovit,Ludovit Potuček,Slovakia,<1921,
Poulsen,Christian,Christian Poulsen,Denmark,1912,1981
Pourkashiyan,Atousa,Atousa Pourkashiyan,Iran,1988,
Predojević,Borki,Borki Predojević,Bosnia,1987,
Price,Edith Charlotte,Edith Charlotte Price,England,1872,1952
Prins,Lodewijk,Lodewijk Prins,Netherlands,1913,1999
Prudnikova,Svetlana,Svetlana Prudnikova,Russia,1967,
Przepiórka,Dawid,Dawid Przepiórka,Poland,1880,1942
Psakhis,Lev,Lev Psakhis,"Russia,Israel",1958,
Ptacnikova,Lenka,Lenka Ptacnikova,"Czechoslovakia,Iceland",1976,
Puc,Stojan,Stojan Puc,Slovenia,1921,2004
Pupols,Viktors,Viktors Pupols,"Latvia,US",1935,
Purdy,John,John Purdy,Australia,1935,2011
Purdy,Cecil,Cecil Purdy,"New Zealand,Australia",1906,1979
Pähtz,Elisabeth,Elisabeth Pähtz,Germany,1985,
Qi,Jingxuan,Qi Jingxuan,China,1947,
Quinteros,Miguel,Miguel Quinteros,Argentina,1947,
Quiñones,Oscar,Oscar Quiñones,Peru,1941,
Rabar,Braslav,Braslav Rabar,Croatia,1919,1973
Rabinovich,Abram,Abram Rabinovich,"Lithuania,Russia",1878,1943
Rabinovich,Ilya,Ilya Rabinovich,Russia,1891,1942
Radjabov,Teimour,Teimour Radjabov,Azerbaijan,1987,
Radulov,Ivan,Ivan Radulov,Bulgaria,1939,
Ragger,Markus,Markus Ragger,Austria,1988,
Ragozin,Viacheslav,Viacheslav Ragozin,Russia,1908,1962
Rahman,Ziaur,Ziaur Rahman,Bangladesh,1974,
Raizman,Maurice,Maurice Raizman,"Moldova/Russia,France",1905,1974
Rajlich,Iweta,Iweta Rajlich,Poland,1981,
Ramesh,Ramachandran,Ramachandran Ramesh,India,1976,
Ramírez,Alejandro,Alejandro Ramírez,Costa Rica,1988,
Rapport,Richárd,Richárd Rapport,Hungary,1996,
Rashkovsky,Nukhim,Nukhim Rashkovsky,Russia,1946,
Raud,Ilmar,Ilmar Raud,"Estonia,Argentina",1913,1941
Rauzer,Vsevolod,Vsevolod Rauzer,Ukraine,1908,1941
Razuvayev,Yuri,Yuri Razuvayev,Russia,1945,2012
Reca,Damian,Damian Reca,Argentina,1894,1937
Ree,Hans,Hans Ree,Netherlands,1944,
Regedziński,Teodor,Teodor Regedziński,Poland,1894,1954
Reggio,Arturo,Arturo Reggio,Italy,1863,1917
Reilly,Brian,Brian Reilly,"France,England,Ireland",1901,1991
Reinderman,Dimitri,Dimitri Reinderman,Netherlands,1972,
Reinfeld,Fred,Fred Reinfeld,US,1910,1964
Reinhardt,Heinrich,Heinrich Reinhardt,"Germany,Argentina",1903,1990
Reischer,Salome,Salome Reischer,"Austria,Palestine,US",1899,1980
Rejfir,Josef,Josef Rejfir,Czechoslovakia,1909,1962
Rellstab,Ludwig,Ludwig Rellstab,Germany,1904,1983
Renaud,Georges,Georges Renaud,France,1893,1975
Reshevsky,Samuel,Samuel Reshevsky,"Poland,US",1911,1992
Riazantsev,Alexander,Alexander Riazantsev,Russia,1985,
Ribli,Zoltán,Zoltán Ribli,Hungary,1951,
Ricardi,Pablo,Pablo Ricardi,Argentina,1962,
Rice,Isaac,Isaac Rice,US,1850,1915
Richter,Kurt,Kurt Richter,Germany,1900,1969
Rico,Antonio,Antonio Rico,Spain,1908,1988
Riegler,Alessandra,Alessandra Riegler,Italy,1961,
Riemann,Fritz,Fritz Riemann,Germany,1859,1932
Riemsdijk,Herman Claudius van,Herman Claudius van Riemsdijk,"Netherlands,Brazil",1948,
Rinder,Friedl,Friedl Rinder,Germany,1905,2001
Rittner,Horst,Horst Rittner,Germany,1930,
Riumin,Nikolai,Nikolai Riumin,Russia,1908,1942
Rivière,Jules Arnous de,Jules Arnous de Rivière,France,1830,1905
Robatsch,Karl,Karl Robatsch,Austria,1928,2000
Robinow,Walter,Walter Robinow,Germany,1867,1938
Robson,Ray,Ray Robson,US,1994,
Rodshtein,Maxim,Maxim Rodshtein,Israel,1989,
Roepstorff,Hans,Hans Roepstorff,Germany,1910,1945
Rogers,Ian,Ian Rogers,Australia,1960,
Rogmann,Gustav,Gustav Rogmann,Germany,1909,1947
Rogoff,Kenneth,Kenneth Rogoff,US,1953,
Rogozenko,Dorian,Dorian Rogozenko,Romania,1973,
Rohaček,Ivan Vladimir,Ivan Vladimir Rohaček,Slovakia,1909,1977
Rohde,Michael,Michael Rohde,US,1959,
Roiz,Michael,Michael Roiz,"Russia,Israel",1983,
Romanishin,Oleg,Oleg Romanishin,Ukraine,1952,
Romanovsky,Peter,Peter Romanovsky,Russia,1892,1964
Romanovsky,Alexander,Alexander Romanovsky,"Lithuania,Russia",1880,1943
Romih,Max,Max Romih,"Croatia,Italy",1893,1979
Ronde,Chris de,Chris de Ronde,"Netherlands,Argentina",1912,1996
Roodzant,Catharina,Catharina Roodzant,Netherlands,1896,1999
Rootare,Vidrik,Vidrik Rootare,Estonia,c. 1900,1985
Rootare,Salme,Salme Rootare,Estonia,1913,1987
Rosanes,Jakob,Jakob Rosanes,"Ukraine/Austria-Hungary,Germany",1842,1922
Roselli,Bernardo,Bernardo Roselli,Uruguay,1965,
Rosen,Leon,Leon Rosen,"Poland,US",1869,1942
Rosendahl,Andreas,Andreas Rosendahl,Denmark,1864,1909
Rosenkrantz,Karl Wilhelm,Karl Wilhelm Rosenkrantz,"Latvia,Russia",1876,>1928
Rosenthal,Samuel,Samuel Rosenthal,"Poland,France",1837,1902
Rosenthal,Jacob,Jacob Rosenthal,US,1881,1954
Ross,Laura,Laura Ross,US,1988,
Rossetto,Héctor,Héctor Rossetto,Argentina,1922,2009
Rossolimo,Nicolas,Nicolas Rossolimo,"Ukraine,France,US",1910,1975
Rotlewi,Gersz,Gersz Rotlewi,Poland,1889,1920
Rousseau,Eugéne,Eugéne Rousseau,France,c. 1810,c. 1870
Roux,Jean-Pierre Le,Jean-Pierre Le Roux,France,1982,
Rowson,Jonathan,Jonathan Rowson,Scotland,1977,
Rozental,Solomon,Solomon Rozental,"Lithuania,Belarus,Russia",1890,1955
Rozentalis,Eduardas,Eduardas Rozentalis,Lithuania,1963,
Rožič,Vesna,Vesna Rožič,Slovenia,1987,2013
Ruan,Lufei,Ruan Lufei,China,1987,
Rubanraut,Serge,Serge Rubanraut,"China,Australia",1948,2008
Ruben,Karl,Karl Ruben,Denmark,1903,
Rubinetti,Jorge,Jorge Rubinetti,Argentina,1945,
Rubinstein,Emanuel,Emanuel Rubinstein,Poland,1897,?
Rubinstein,José,José Rubinstein,Argentina,1940,
Rubinstein,Simon,Simon Rubinstein,"Austria,South Africa",c. 1910,
Rubinstein,Solomon,Solomon Rubinstein,"Poland,US",1868,1931
Rubinstein,Akiba,Akiba Rubinstein,"Poland,Germany,Belgium",1882,1961
Rublevsky,Sergei,Sergei Rublevsky,Russia,1974,
Rubtsova,Olga,Olga Rubtsova,Russia,1909,1994
Rudakovsky,Iosif,Iosif Rudakovsky,Ukraine,1914,1947
Rudenko,Lyudmila,Lyudmila Rudenko,"Ukraine,Russia",1904,1986
Rudge,Mary,Mary Rudge,England,1842,1919
Rudnev,Nikoly,Nikoly Rudnev,"Ukraine,Uzbekistan",1895,1944
Rudolf,Anna,Anna Rudolf,Hungary,1987,
